{'01044099999': -10.0, '02293099999': -27.6}
         384086 function calls (378509 primitive calls) in 4.142 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:1(<module>)
        1    0.000    0.000    0.000    0.000 encoders.py:1(<module>)
        2    0.000    0.000    0.000    0.000 connection.py:531(_match_hostname)
      427    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        2    0.000    0.000    0.000    0.000 client.py:412(_close_conn)
       24    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
      261    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
        1    0.000    0.000    0.000    0.000 heapq.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedReader' objects}
       24    0.000    0.000    0.000    0.000 parse.py:436(urlsplit)
       14    0.000    0.000    0.000    0.000 sessions.py:61(merge_setting)
        2    0.000    0.000    0.000    0.000 request.py:2524(proxy_bypass_environment)
        2    0.000    0.000    0.000    0.000 feedparser.py:471(_parse_headers)
      122    0.000    0.000    0.000    0.000 sre_parse.py:296(_class_escape)
        2    0.000    0.000    0.000    0.000 socket.py:768(close)
        1    0.000    0.000    0.000    0.000 retry.py:1(<module>)
        1    0.000    0.000    0.000    0.000 message.py:105(Message)
       10    0.000    0.000    0.000    0.000 connection.py:221(putheader)
       35    0.000    0.000    0.000    0.000 typing.py:146(_type_check)
        5    0.000    0.000    0.000    0.000 socket.py:498(close)
        2    0.000    0.000    0.000    0.000 ssl.py:1151(getpeercert)
       24    0.000    0.000    0.000    0.000 queue.py:154(get)
       22    0.000    0.000    0.000    0.000 ipaddress.py:1173(_ip_int_from_string)
       44    0.000    0.000    0.000    0.000 enum.py:579(_get_mixins_)
       39    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      188    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      366    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
      364    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
        1    0.000    0.000    0.000    0.000 ssl.py:183(_TLSAlertType)
      363    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
      310    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
      365    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
        2    0.000    0.000    0.000    0.000 socket.py:488(_decref_socketios)
        2    0.000    0.000    0.000    0.000 ssl_match_hostname.py:98(match_hostname)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1628(path_hook_for_FileFinder)
       12    0.000    0.000    0.000    0.000 datetime.py:461(__new__)
      216    0.000    0.000    0.000    0.000 os.py:698(__iter__)
      310    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
