{'01044099999': -10.0, '02293099999': -27.6}
         311973 function calls (306458 primitive calls) in 0.273 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1494(__init__)
       13    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
       80    0.000    0.000    0.000    0.000 ipaddress.py:1199(_parse_octet)
        1    0.000    0.000    0.000    0.000 models.py:254(CharsetMatches)
        1    0.000    0.000    0.000    0.000 intranges.py:1(<module>)
        1    0.000    0.000    0.000    0.000 re.py:222(split)
      366    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      288    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       47    0.000    0.000    0.000    0.000 sre_compile.py:516(_get_charset_prefix)
        1    0.000    0.000    0.000    0.000 readers.py:1(<module>)
       71    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
      133    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
      347    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 ipaddress.py:1125(_BaseV4)
       88    0.000    0.000    0.000    0.000 six.py:142(__init__)
        1    0.000    0.000    0.000    0.000 _collections.py:1(<module>)
       17    0.000    0.000    0.000    0.000 typing.py:1143(<genexpr>)
        1    0.000    0.000    0.000    0.000 models.py:14(CharsetMatch)
      494    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
      363    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        6    0.000    0.000    0.000    0.000 abc.py:21(_register)
        1    0.000    0.000    0.000    0.000 _adapters.py:1(<module>)
      179    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
      404    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 os.py:44(_get_exports_list)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1586(_make_netmask)
      282    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.000    0.000 connection.py:119(_has_ipv6)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
